BUY	XRX	200	4.83	966	9034	966	1386972821
SELL	XRX	20	4.83	96.6	9130.6	869.4	1386972849
BUY	GOOG	10	569.964	5699.64	3430.96	7109.04	1386972874
SELL	GOOG	5	568.964	2844.82	6275.78	3714.22	1386972881
BUY	MSFT	100	30.62	3062	3213.78	7221.22	1386973032
SELL	MSFT	50	29.62	1481	4694.78	5740.22	1386973060
SELL	GOOG	2	568.964	1137.93	7832.71	4107.29	1386974039
BUY	GOOG	2	569.964	1139.93	6692.78	5245.22	1386974137
SELL	GOOG	5	569.964	2849.82	9542.6	2890.4	1386974255
BUY	GOOG	10	569.964	5699.64	3842.96	8090.04	1386974272
